Product Id,SKU,Product Name,Category,Image URL,Product Status,Success,ProductMatch,PriceMatch,OriginalPrice,ProductURL
652160,BZCG-650-PD03-8GB,Aeroplane Shape Fancy Pen Drive,"Mobiles,Tablets & Accessories >> Mobile Accessories >> Pen Drives",https://www.moonboy.in/images/product_img/original_jekmadb0euphiol.jpg,Active,60,Shrih Aeroplane Shape 8 GB OTG Drive,"â‚¹1,899","â‚¹3,000",https://www.flipkart.com/shrih-aeroplane-shape-8-gb-otg-drive/p/itmezjc8ufnxxgb4?pid=ACCEZJC8BVGHUFRG&srno=s_1_1&otracker=search&lid=LSTACCEZJC8BVGHUFRGY3ULGI&qH=93bd62005af11923
652159,FXDR-650-PD04-8GB,Android Shape Fancy Pendrive,"Mobiles,Tablets & Accessories >> Mobile Accessories >> Pen Drives",https://www.moonboy.in/images/product_img/original_chirsnygatqvmu0.jpg,Active,75,Microware Android Shape Designer 8 GB Pendrive,â‚¹549,â‚¹800,https://www.flipkart.com/microware-android-shape-designer-8-gb-pendrive/p/itmdnymmj75f78b8?pid=ACCD75ADJFQ2CNFG&srno=s_1_1&otracker=search&lid=LSTACCD75ADJFQ2CNFGSDEXNC&qH=d88525fe72a51648
652158,QFPH-650-PD13-8GB,Banana Shape Fancy Pendrive,"Mobiles,Tablets & Accessories >> Mobile Accessories >> Pen Drives",https://www.moonboy.in/images/product_img/original_95402qhchovzafj.jpg,Active,50,Microware Banana Shape 4 GB Pen Drive,â‚¹599,â‚¹799,https://www.flipkart.com/microware-banana-shape-4-gb-pen-drive/p/itmddc9tcznuqbbv?pid=ACCDDC93H9AZDXZZ&srno=s_1_1&otracker=search&lid=LSTACCDDC93H9AZDXZZDFXXKD&qH=f151bd73011c901d
652157,YOWE-650-PD02-8GB,Batman Thunder Shape Fancy Pen drive,"Mobiles,Tablets & Accessories >> Mobile Accessories >> Pen Drives",https://www.moonboy.in/images/product_img/original_jupetcqgjosciyd.jpg,Active,83.33,Microware Batman Thunder Shape 16 GB Pen Drive,â‚¹699,"â‚¹1,100",https://www.flipkart.com/microware-batman-thunder-shape-16-gb-pen-drive/p/itmdrkkxwsvyfday?pid=ACCDRKKWTJHXHPCH&srno=s_1_1&otracker=search&lid=LSTACCDRKKWTJHXHPCH9HML0Z&qH=ac44a78e2273690b
652156,LVON-650-PD05-8GB,Beer Mug Shape Fancy Pen Drive,"Mobiles,Tablets & Accessories >> Mobile Accessories >> Pen Drives",https://www.moonboy.in/images/product_img/original_jm9hbzxn4fi0qoo.jpg,Active,83.33,Microware Beer Mug Shape 8 GB Pen Drive,â‚¹699,â‚¹900,https://www.flipkart.com/microware-beer-mug-shape-8-gb-pen-drive/p/itmdkzyjgpfkrchq?pid=ACCDKZS5ECA8WKGY&srno=s_1_1&otracker=search&lid=LSTACCDKZS5ECA8WKGYRZETOS&qH=6dd1c2082df32b7e
652155,CYHG-650-PD06-8GB,Black Lanyard Shape Fancy Pen Drive,"Mobiles,Tablets & Accessories >> Mobile Accessories >> Pen Drives",https://www.moonboy.in/images/product_img/original_i8jkr6v2uontelg.jpg,Active,100,Microware 32 GB Black Lanyard Shape Designer Pen Drive Fancy Pen ...,"â‚¹1,399","â‚¹1,995",https://www.flipkart.com/microware-32-gb-black-lanyard-shape-designer-pen-drive-fancy/p/itmdy9ryyjgzjmaa?pid=ACCDY9RXMFQWEKMF&srno=s_1_1&otracker=search&lid=LSTACCDY9RXMFQWEKMFTKJ8GP&qH=6419ef084b42fbd4
652154,FNMD-650-PD14-8GB,Boat Shape Fancy Pen Drive,"Mobiles,Tablets & Accessories >> Mobile Accessories >> Pen Drives",https://www.moonboy.in/images/product_img/original_dkyibekquwxa52u.jpg,Active,80,Microware Ship Boat Yacht Shape Designer 8 GB Pendrive,â‚¹599,â‚¹800,https://www.flipkart.com/microware-ship-boat-yacht-shape-designer-8-gb-pendrive/p/itmd75agkzw6tfvb?pid=ACCD75ADQWBXS3GZ&srno=s_1_1&otracker=search&lid=LSTACCD75ADQWBXS3GZ10OTI9&qH=48b745306be4560e
652153,RXQA-650-PD15-8GB,Bottle Coca Cola Big Shape Fancy Pen Drive,"Mobiles,Tablets & Accessories >> Mobile Accessories >> Pen Drives",https://www.moonboy.in/images/product_img/original_wln0zefnm6bqusi.jpg,Active,75,Zeztee CocaCola Bottle Shape Style 8 GB Pen Drive,â‚¹599,â‚¹749,https://www.flipkart.com/zeztee-cocacola-bottle-shape-style-8-gb-pen-drive/p/itmedku39t3hnarb?pid=ACCEDKU3CWAYXPJB&srno=s_1_1&otracker=search&lid=LSTACCEDKU3CWAYXPJBNZGU8J&qH=ef61b3c547aa8672
652152,QXMU-650-PD19-8GB,Bottle Heineken Shape Fancy Pen Drive,"Mobiles,Tablets & Accessories >> Mobile Accessories >> Pen Drives",https://www.moonboy.in/images/product_img/original_y18awypsehexifd.jpg,Active,66.67,Zeztee CocaCola Bottle Shape Style 8 GB Pen Drive,â‚¹599,â‚¹749,https://www.flipkart.com/zeztee-cocacola-bottle-shape-style-8-gb-pen-drive/p/itmedku39t3hnarb?pid=ACCEDKU3CWAYXPJB&srno=s_1_1&otracker=search&lid=LSTACCEDKU3CWAYXPJBNZGU8J&qH=0814a3d7d38b155a
652151,EJDG-650-PD16-8GB,Bottle Opener Shape Fancy Pen Drive,"Mobiles,Tablets & Accessories >> Mobile Accessories >> Pen Drives",https://www.moonboy.in/images/product_img/original_ir51ejctjq86ugl.jpg,Active,83.33,Zeztee Bottle Opener Shape Silver Color 16 GB Pen Drive,â‚¹749,"â‚¹1,149",https://www.flipkart.com/zeztee-bottle-opener-shape-silver-color-16-gb-pen-drive/p/itmeeswrbcwjmfqv?pid=ACCEESWR96ZVETTT&srno=s_1_1&otracker=search&lid=LSTACCEESWR96ZVETTTQ9DP8M&qH=54eac063d64ddf37
