Url,Title,MRP,Price,Shipping,Seller,Promo,Description,Highlight1,Highlight2,Highlight3,Highlight4,Highlight5,Image1,Image2,Image3,Image4,Image5,Category1,Category2,Category3,Category4,Category5,Article Identification Value, Article Identifier Type, Brand, Collar Type, Collection, Color, EAN/UPC, Ean Code, Estimated Arrival, Fastening, Fit, Gender, Material, Neck Type, Occasion, Pattern, Product Code, Return Policy, Rise, Set Contents, Size, Sleeve, Sole Material, Style Code, Type, Upper Material, Wash Care
"https://paytmmall.com/jack-jones-men-s-striped-tshirt-CMPLXAPPJACK-JONES-MKAPS578490FC42DC5B-pdp?src=grid&tracker=curated%7C%7Cjack%20%7CCategory%20Grid%7C%2Fg%2Fjack-and-jones%7C114238%7C1%7C","Jack & Jones Men's Striped TShirt","Rs 1099","Buy for Rs 659","NA","Kapsons Retail Pvt Ltd","NA","JJOROZI TEE SS CREW NECK IN","NA","NA","NA","NA","NA","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS578490DE9BEEC7/0x1920/70/1..jpg","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS578490DE9BEEC7/0x1920/70/2..jpg","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS578490DE9BEEC7/0x1920/70/2..jpg","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS578490DE9BEEC7/0x1920/70/3..jpg","NA","Men's Fashion","Clothing","T-Shirts","NA","NA","NA","NA","Jack & Jones","Round Neck","NA","Multi","5713610939527","NA","5 - 8 days","NA","NA","Men","Cotton","NA","Casual","NA","APPJACK-JONES-MKAPS578490DE9BEEC7","Seller will accept returns or replace the product within 15 days from the date of delivery of the item","NA","NA","XL","Short Sleeves","NA","1855753-Cloud Dancer","T-Shirts","NA","Machine Wash",
"https://paytmmall.com/jack-jones-men-s-casual-shirts-CMPLXAPPJACK-JONES-MKAPS78002F4C97E72-pdp?src=grid&tracker=curated%7C%7Cjack%20%7CCategory%20Grid%7C%2Fg%2Fjack-and-jones%7C114238%7C2%7C","Jack & Jones Men's Casual Shirts","Rs 1699","Buy for Rs 849","NA","Kapsons Retail Pvt Ltd","NA","JJVC DABB SHIRT L/S IN","Check The Size Chart Below To Ensure You Get The Best Fit For You.","NA","NA","NA","NA","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS578490F4C97E72/0x1920/70/1.jpg","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS578490F4C97E72/0x1920/70/2.jpg","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS578490F4C97E72/0x1920/70/2.jpg","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS578490F4C97E72/0x1920/70/3.jpg","NA","Men's Fashion","Clothing","Casual shirts","NA","NA","NA","NA","Jack & Jones","Classic Collar","CUBA","Black","NA","5713610668229","5 - 8 days","NA","Regular","Men","Pure Cotton","NA","Casual","Solid","APPJACK-JONES-MKAPS578490F4C97E72","Seller will accept returns or replace the product within 15 days from the date of delivery of the item","NA","1","XXL","Full Sleeves","NA","1855075-Black","NA","NA","Machine Wash",
"https://paytmmall.com/jack-jones-men-s-casual-canvas-sneaker-CMPLXFOOJACK-JONES-MKAPS780021BA38EEC-pdp?src=grid&tracker=curated%7C%7Cjack%20%7CCategory%20Grid%7C%2Fg%2Fjack-and-jones%7C114238%7C3%7C","Jack & Jones Men's Sneaker Shoes","Rs 2199","Buy for Rs 1099","NA","Kapsons Agencies P. Ltd.","NA","NA","NA","NA","NA","NA","NA","https://assetscdn1.paytm.com/images/catalog/product/F/FO/FOOJACK-JONES-MKAPS780021D54421F/0x1920/70/14.JPG","https://assetscdn1.paytm.com/images/catalog/product/F/FO/FOOJACK-JONES-MKAPS780021D54421F/0x1920/70/16.JPG","https://assetscdn1.paytm.com/images/catalog/product/F/FO/FOOJACK-JONES-MKAPS780021D54421F/0x1920/70/16.JPG","https://assetscdn1.paytm.com/images/catalog/product/F/FO/FOOJACK-JONES-MKAPS780021D54421F/0x1920/70/17.JPG","NA","Men's Fashion","Footwear","Sneakers Shoes","NA","NA","NA","NA","Jack & Jones","NA","NA","Grey","NA","NA","5 - 8 days","Lace Up","NA","NA","NA","NA","NA","Solid","FOOJACK-JONES-MKAPS780021D54421F","Seller will accept returns within 15 days from date of delivery of the item","NA","NA","EU 42","NA","Rubber","NA","NA","Canvas","NA",
"https://paytmmall.com/jack-jones-men-s-casual-canvas-sneaker-CMPLXFOOJACK-JONES-MKAPS7800275E4551-pdp?src=grid&tracker=curated%7C%7Cjack%20%7CCategory%20Grid%7C%2Fg%2Fjack-and-jones%7C114238%7C4%7C","Jack & Jones Men's Sneaker Shoes","Rs 2199","Buy for Rs 879","NA","Kapsons Retail Pvt Ltd","MALL50F: Get Flat Rs.50 Cashback on Apparel,Accessories & Footwear Products. Valid only for first time Paytm Mall Users","NA","Use promocode - MALL50FMALL50F: Get Flat Rs.50 Cashback on Apparel,Accessories & Footwear Products. Valid only for first time Paytm Mall Users*Terms & Conditions","NA","NA","NA","NA","https://assetscdn1.paytm.com/images/catalog/product/F/FO/FOOJACK-JONES-MKAPS5784904FBE4854/0x1920/70/1.jpg","https://assetscdn1.paytm.com/images/catalog/product/F/FO/FOOJACK-JONES-MKAPS5784904FBE4854/0x1920/70/2.jpg","https://assetscdn1.paytm.com/images/catalog/product/F/FO/FOOJACK-JONES-MKAPS5784904FBE4854/0x1920/70/2.jpg","https://assetscdn1.paytm.com/images/catalog/product/F/FO/FOOJACK-JONES-MKAPS5784904FBE4854/0x1920/70/3.jpg","NA","Men's Fashion","Footwear","Sneakers Shoes","NA","NA","NA","NA","Jack & Jones","NA","NA","Black","NA","NA","5 - 8 days","Lace Up","NA","NA","NA","NA","NA","Solid","FOOJACK-JONES-MKAPS5784904FBE4854","Seller will accept returns within 15 days from date of delivery of the item","NA","NA","EU 40","NA","Rubber","NA","NA","Canvas","NA",
"https://paytmmall.com/jack-jones-men-s-printed-tshirt-CMPLXAPPJACK-JONES-MKAPS5784906BFD40E-pdp?src=grid&tracker=curated%7C%7Cjack%20%7CCategory%20Grid%7C%2Fg%2Fjack-and-jones%7C114238%7C5%7C","Jack & Jones Men's Printed TShirt","Rs 899","Buy for Rs 629","NA","Kapsons Retail Pvt Ltd","Use promocode FASH40 to get 40% cashback* (Max cashback Rs.4000). COD option will not be available on applying this promocode.","JJPR POST TEE S/S CREW NECK IN","Use promocode - FASH40Use promocode FASH40 to get 40% cashback* (Max cashback Rs.4000). COD option will not be available on applying this promocode.*Terms & Conditions","NA","NA","NA","NA","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS578490734C4E04/0x1920/70/1..jpg","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS578490734C4E04/0x1920/70/2..jpg","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS578490734C4E04/0x1920/70/2..jpg","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS578490734C4E04/0x1920/70/3..jpg","NA","Men's Fashion","Clothing","T-Shirts","NA","NA","NA","NA","Jack & Jones","Round Neck","NA","Green","5713611145279","NA","5 - 8 days","NA","NA","Men","Cotton","NA","Casual","NA","APPJACK-JONES-MKAPS578490734C4E04","Seller will accept returns or replace the product within 15 days from the date of delivery of the item","NA","NA","XL","Short Sleeves","NA","1855779-Mistletoe","T-Shirts","NA","Machine Wash",
"https://paytmmall.com/jack-jones-men-s-casual-canvas-sneaker-CMPLXFOOJACK-JONES-MKAPS7800217D7DD7-pdp?src=grid&tracker=curated%7C%7Cjack%20%7CCategory%20Grid%7C%2Fg%2Fjack-and-jones%7C114238%7C6%7C","Jack & Jones Men's Sneaker Shoes","Rs 2199","Buy for Rs 879","NA","Kapsons Retail Pvt Ltd","MALL50F: Get Flat Rs.50 Cashback on Apparel,Accessories & Footwear Products. Valid only for first time Paytm Mall Users","NA","Use promocode - MALL50FMALL50F: Get Flat Rs.50 Cashback on Apparel,Accessories & Footwear Products. Valid only for first time Paytm Mall Users*Terms & Conditions","NA","NA","NA","NA","https://assetscdn1.paytm.com/images/catalog/product/F/FO/FOOJACK-JONES-MKAPS5784908EA8C90B/0x1920/70/1.jpg","https://assetscdn1.paytm.com/images/catalog/product/F/FO/FOOJACK-JONES-MKAPS5784908EA8C90B/0x1920/70/2.jpg","https://assetscdn1.paytm.com/images/catalog/product/F/FO/FOOJACK-JONES-MKAPS5784908EA8C90B/0x1920/70/2.jpg","https://assetscdn1.paytm.com/images/catalog/product/F/FO/FOOJACK-JONES-MKAPS5784908EA8C90B/0x1920/70/3.jpg","NA","Men's Fashion","Footwear","Sneakers Shoes","NA","NA","NA","NA","Jack & Jones","NA","NA","Blue","NA","NA","5 - 8 days","Lace Up","NA","NA","NA","NA","NA","Solid","FOOJACK-JONES-MKAPS5784908EA8C90B","Seller will accept returns within 15 days from date of delivery of the item","NA","NA","EU 41","NA","Rubber","NA","NA","Canvas","NA",
"https://paytmmall.com/jack-jones-men-s-casual-canvas-sneaker-CMPLXFOOJACK-JONES-MKAPS780025ECABE25-pdp?src=grid&tracker=curated%7C%7Cjack%20%7CCategory%20Grid%7C%2Fg%2Fjack-and-jones%7C114238%7C7%7C","Jack & Jones Men's Sneaker Shoes","Rs 2199","Buy for Rs 1099","NA","Kapsons Agencies P. Ltd.","NA","NA","NA","NA","NA","NA","NA","https://assetscdn1.paytm.com/images/catalog/product/F/FO/FOOJACK-JONES-MKAPS78002D550C33/0x1920/70/14.JPG","https://assetscdn1.paytm.com/images/catalog/product/F/FO/FOOJACK-JONES-MKAPS78002D550C33/0x1920/70/16.JPG","https://assetscdn1.paytm.com/images/catalog/product/F/FO/FOOJACK-JONES-MKAPS78002D550C33/0x1920/70/16.JPG","https://assetscdn1.paytm.com/images/catalog/product/F/FO/FOOJACK-JONES-MKAPS78002D550C33/0x1920/70/17.JPG","NA","Men's Fashion","Footwear","Sneakers Shoes","NA","NA","NA","NA","Jack & Jones","NA","NA","Grey","NA","NA","5 - 8 days","Lace Up","NA","NA","NA","NA","NA","Solid","FOOJACK-JONES-MKAPS78002D550C33","Seller will accept returns within 15 days from date of delivery of the item","NA","NA","EU 41","NA","Rubber","NA","NA","Canvas","NA",
"https://paytmmall.com/jack-jones-men-s-casual-tshirt-CMPLXAPPJACK-JONES-MKAPS78002B674483E-pdp?src=grid&tracker=curated%7C%7Cjack%20%7CCategory%20Grid%7C%2Fg%2Fjack-and-jones%7C114238%7C8%7C","Jack & Jones Men's Casual TShirt","Rs 1299","Buy for Rs 649","NA","Kapsons Retail Pvt Ltd","NA","JCOANTON TEE SS CREW NECK","Check The Size Chart Below To Ensure You Get The Best Fit For You.","NA","NA","NA","NA","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS578490B674483E/0x1920/70/1.jpg","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS578490B674483E/0x1920/70/2.jpg","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS578490B674483E/0x1920/70/2.jpg","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS578490B674483E/0x1920/70/3.jpg","NA","Men's Fashion","Clothing","T-Shirts","NA","NA","NA","NA","Jack & Jones","Crew neck","HYBIRD","Blue","NA","5713442999065","5 - 8 days","NA","Slim","Men","Cotton","NA","Casual","Striped","APPJACK-JONES-MKAPS578490B674483E","Seller will accept returns or replace the product within 15 days from the date of delivery of the item","NA","1","XL","Short Sleeves","NA","1848923-Sky Captain","T-Shirts","NA","Machine Wash",
"https://paytmmall.com/jack-jones-men-s-casual-track-pants-CMPLXAPPJACK-JONES-MKAPS78002E6627B10-pdp?src=grid&tracker=curated%7C%7Cjack%20%7CCategory%20Grid%7C%2Fg%2Fjack-and-jones%7C114238%7C9%7C","Jack & Jones Men's Casual Track Pants","Rs 2199","Buy for Rs 1099","NA","Kapsons Retail Pvt Ltd","NA","JI RECYCLE BASIC SWEAT PANTS IN","Check The Size Chart Below To Ensure You Get The Best Fit For You.","NA","NA","NA","NA","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS5784909696AB22/0x1920/70/1.jpg","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS5784909696AB22/0x1920/70/2.jpg","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS5784909696AB22/0x1920/70/2.jpg","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS5784909696AB22/0x1920/70/3.jpg","NA","Men's Fashion","Clothing","Sportswear & Activewear","Track Pants","NA","NA","NA","Jack & Jones","NA","NA","Blue","NA","5713611692247","5 - 8 days","NA","Slim","Men","Poly Cotton","NA","Casual","Solid","APPJACK-JONES-MKAPS5784909696AB22","Seller will accept returns or replace the product within 15 days from the date of delivery of the item","NA","1","S","NA","NA","1857162-Dress Blues","NA","NA","Machine Wash",
"https://paytmmall.com/jack-jones-men-s-casual-t-shirts-CMPLXAPPJACK-JONES-MKAPS78002F527FDBB-pdp?src=grid&tracker=curated%7C%7Cjack%20%7CCategory%20Grid%7C%2Fg%2Fjack-and-jones%7C114238%7C10%7C","Jack & Jones Men's Casual T-shirts","Rs 799","Buy for Rs 399","NA","Kapsons Agencies P. Ltd.","NA","Jjcoitus Tee Ss Crew","Check The Size Chart Below To Ensure You Get The Best Fit For You.","NA","NA","NA","NA","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS7800274C66290/0x1920/70/1..jpg","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS7800274C66290/0x1920/70/2..jpg","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS7800274C66290/0x1920/70/2..jpg","https://assetscdn1.paytm.com/images/catalog/product/A/AP/APPJACK-JONES-MKAPS7800274C66290/0x1920/70/3..jpg","NA","Men's Fashion","Clothing","T-Shirts","NA","NA","NA","NA","Jack & Jones","Round Neck","NA","Blue","NA","5713610923946","5 - 8 days","NA","Slim","Men","Cotton","NA","Casual","Printed","APPJACK-JONES-MKAPS7800274C66290","Seller will accept returns or replace the product within 15 days from the date of delivery of the item","NA","1","S","Short Sleeves","NA","1855723-surf The Web","T-Shirts","NA","Hand Wash",
