Url,Title,MRP,Price,Shipping,Seller,Promo,Description,Highlight1,Highlight2,Highlight3,Highlight4,Highlight5,Image1,Image2,Image3,Image4,Image5,Category1,Category2,Category3,Category4,Category5,Brand, Color Family, Duration, Fabric, Ideal For, Length, Lifestyle, Model ID, Neckline, Occasion, Part Number, Prints & Patterns, Quantity Range, Quantity in, Sleeve Length, Style, Type, Warranty Available, Wash Care
"http://www.shopclues.com/kriso-blue-georgette-a-line-kurti-for-women.html","KRISO Blue Georgette A-Line Kurti For Women","Rs.2,799","Rs.499","Free Shipping","YOGPRIDEAL","10% SuperCash on Mobikwik | Max Cashback Rs.200 T&C","","Ideal For : Women","Occasion : Casual","Prints & Patterns : Plain","More Specification","NA","http://cdn.shopclues.com/images/detailed/57525/109434816EnvyBlueSolidsPureGeorgette11447504377_1487525411.jpg","http://cdn.shopclues.com/images/detailed/57525/109434816EnvyBlueSolidsPureGeorgette41447679275_1487525407.jpg","http://cdn.shopclues.com/images/detailed/57525/109434816EnvyBlueSolidsPureGeorgette21447679270_1487525403.jpg","http://cdn.shopclues.com/images/detailed/57525/109434816EnvyBlueSolidsPureGeorgette31447679266_1487525399.jpg","NA","Fashion","Women's Clothing","Ethnic Wear","Kurta/Kurtis","NA","Envy","Blue","NA","Georgette","Women","Mid","FOR WOMEN, GIRLS FOR WEDDING, PARTY & CASUAL PURPOSES","NA","NA","Casual","NA","Plain","NA","NA","3/4th Sleeves","NA","Stitched","NA","Hand Wash",
"http://www.shopclues.com/envy-1000-rush-deo-130-ml.html","Envy 1000 Rush Deo 130 Ml","Rs.199","Rs.195","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ml","NA","NA","NA","NA","NA",
"http://www.shopclues.com/envy-1000-fiery-deo-130-ml.html","Envy 1000 Fiery Deo 130 Ml","NA","Rs.195","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"http://www.shopclues.com/envy-1000-enigma-crystal-deo-135-ml.html","Envy 1000 Enigma Crystal Deo 135 Ml","Rs.199","Rs.190","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ml","NA","NA","NA","NA","NA",
"http://www.shopclues.com/envy-1000-kiss-deo-130-ml.html","Envy 1000 Kiss Deo 130 Ml","Rs.199","Rs.190","NA","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","100-150 gm/ml","ml","NA","NA","Spray","NA","NA",
"http://www.shopclues.com/envy-1000-crystal-miami-rush-135-ml.html","Envy 1000 Crystal Miami Rush 135 Ml","NA","Rs.199","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"http://www.shopclues.com/c.a.l-los-angeles-envy-pure-color-lipstick-3.5-g-glam-pink.html","C.A.L Los Angeles Envy Pure Color Lipstick 3.5 g (Glam Pink)","Rs.400","Rs.211","Shipping: Rs. 39","AGGARWAL'S","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Make-Up","Lips","Lip Stick","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA",
"http://www.shopclues.com/envy-1000-alpine-thrill-crystal-deo-135-ml.html","Envy 1000 Alpine Thrill Crystal Deo 135 Ml","Rs.199","Rs.195","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Deodorants","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ml","NA","NA","NA","NA","NA",
"http://www.shopclues.com/envy-techno-deo-130-ml.html","Envy Techno Deo 130 Ml","Rs.225","Rs.195","Free Shipping","VANESA CARE PVT. LTD","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Beauty & Perfumes","Fragrances","Perfumes","NA","NA","Envy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",
"http://www.shopclues.com/envy-me-ny-blue-ethinic-print-shirt-em15-004.html","ENVY ME NY BLUE ETHINIC PRINT SHIRT EM15-004","Rs.1,899","Rs.399","Shipping: Rs. 20","STUDIO ENVY ME LLP","10% SuperCash on Mobikwik | Max Cashback Rs.200 T&C","","Ideal For : Women","Occasion : Casual","Prints & Patterns : Printed","More Specification","NA","http://cdn.shopclues.com/images/detailed/20712/EM15004_1435397946.jpg","http://cdn.shopclues.com/images/detailed/20712/EM150043_1435397964.jpg","http://cdn.shopclues.com/images/detailed/20712/EM150042_1435397958.jpg","NA","NA","Fashion","Women's Clothing","Western Wear","Tops,Tees,Tunics&Shirts","NA","Envy","Blue, White, Yellow","NA","Crepe","Women","NA","NA","EM15-004","Shirt Collar","Casual","NA","Printed","NA","NA","Full Sleeves","NA","Basic","NA","Hand Wash",
