Url,Title,MRP,Price,Shipping,Seller,Promo,Description,Highlight1,Highlight2,Highlight3,Highlight4,Highlight5,Image1,Image2,Image3,Image4,Image5,Category1,Category2,Category3,Category4,Category5,
"https://www.amazon.in/MamyPoko-Large-Size-Pants-Count/dp/B017IAH9XU/ref=sr_1_1/259-3075064-5659152?m=AT95IG9ONZD7S&s=merchant-items&ie=UTF8&qid=1498600301&sr=1-1","MamyPoko Large Size Pants (64 Count)","930.00","685.00","FREE Delivery","Cloudtail India","NA","Size:Large  |  Unit Count:641. Crisscross Absorbent sheet– The sheet has cross embossed pattern lines on the absorbent sheet of the diaper which ensures that urine is evenly spread to all parts of the diaper ensuring diaper is not bulky at one point, rather its evenly spread and soaked all across diaper.2. BREATHABLE COTTON-LIKE COVER – MamyPoko Pants comes with unique breathable cotton like cover which allows air to pass through that makes baby more comfortable for longer time.3. All-round elastic wide band – MamyPoko Pants are made with special All-round elastic waist band which ensures that the baby is comfortable without being tight or lose on baby’s body. This band is gentle on the skin and takes the shape of baby’s body. MamyPoko Pants prevents leakage making the baby feel fresh even after usage of upto 12 hours.4. Winnie the Pooh – MamyPoko Pants comes in special designs of your baby’s favourite character from the house of Disney.5. Urine absorbency – MamyPoko extra absorb diaper prevents leakage and it can absorb up to 7 glasses of urine, hence baby feels light up to 12 hours.6. Baby Weight - MamyPoko pant style medium size diaper suits babies with the weight in the range of 9-14 kg","Crisscross Absorbent sheet of MamyPoko diaper soaks upto 7 glasses of urine","For Large size of MamyPoko Pants - 1 Glass = 50 ml (Total Absorbency = 7*50 ml = 350 ml)","Crisscross absorbent sheet ensure that the diaper is not heavy on any 1 point rather the urine is evenly &equally absorbed across the diaper, hence baby remain comfortable even after being in it for upto 12 hours.","MamyPoko diapers have Breathable Cotton Like cover which ensure humidity to pass through, which makes baby comfortable. Breathable material of the diaper ensures the baby is fresh and light all the time","All-round soft elastic band provides perfect fitting & comfort to the child &child's skin which is best suitable for babies from weight 9 Kg. to 14 Kg","http://ecx.images-amazon.com/images/I/51m2jmwBTwL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/51Ldbypmv5L._UL1500_.jpg","http://ecx.images-amazon.com/images/I/51TXkszepCL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/51N%2Bt7C3guL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/51Jw3bxWvWL._UL1500_.jpg","Baby","Diapering & Nappy Changing","Diapers","Diaper Pants","NA",
"https://www.amazon.in/Philips-Trimmer-Cordless-QT4001-15/dp/B00L8PEEAI/ref=sr_1_2/259-3075064-5659152?m=AT95IG9ONZD7S&s=merchant-items&ie=UTF8&qid=1498600301&sr=1-2","Philips Beard Trimmer Cordless for Men QT4001/15","1,475.00","1,149.00","FREE Delivery","Cloudtail India","NA","When you want to look your very best, Philips has the right grooming solution for you. Philips combines technology with design & the trimmers last up to 4 x longer vs. ordinary trimmers . The Philips beard trimmer delivers an effortless, even result time after time. Self-sharpening blades are long lasting and stay as sharp as on day one , while rounded tips and combs are gentle on your skin preventing irritation.","Long lasting performance due to DuraPower technology","Up to 45 minutes of cordless power after 10 hours of charging","Skin-friendly rounded tips for smooth trimming","10 lock-in length settings, 1 - 10mm with 1mm precision","Self-sharpening stainless steel blades","http://ecx.images-amazon.com/images/I/31fuXl7Q5NL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/41encFkeOmL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/51cJbFuu8nL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/51PMOwBvfrL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/414oLCXOGJL._UL1500_.jpg","Health & Personal Care","Personal Care","Shaving & Hair Removal","Trimmers & Clippers","Beard Trimmers",
"https://www.amazon.in/Pampers-Medium-Size-Diapers-Pants/dp/B01CG13CW8/ref=sr_1_3/259-3075064-5659152?m=AT95IG9ONZD7S&s=merchant-items&ie=UTF8&qid=1498600301&sr=1-3","Pampers Medium Size Diapers Pants (Pack of 56)","699.00","489.00","FREE Delivery","Cloudtail India","NA","Size:Medium  |  Unit Count:56Cottony Comfort and Easy to Use: Let your baby's skin breathe easy with the airy, soft comfort offered by the Pampers diaper pants. With an outer layer of cotton-like softness, this baby diaper provides intense care to your baby's sensitive skin and protects it effectively from friction rash and redness. Featuring pant style design, these Pamper diapers are easy to put on your baby and change, which comes as a great help to mothers. Your little one will find it interesting too, as it comes with a colourful cartoon picture in the front. Offering complete care and protection, these baby diaper pants will help keep your baby smiling and comfortable at all times. Gentle Care and Nourishment for Your Little One: Your baby will laugh and play in comfort wearing the Pampers diaper pants. This diaper is infused with baby lotion, which moisturizes and nourishes your baby's skin and protects it from diaper rash, roughness and irritation. With Magic gel layer, these baby diaper pants effectively absorb up to 6 glasses of fluid from the surface of the diaper and protect your baby's delicate skin from rash and inflammation caused by wetness. By offering up to 12 hours of dryness, these Pampers diaper pants remain dry for a long time, so that you do not have to change the diaper frequently through the night.","India's driest pants","Up to 12 hours of dryness with pampers magic gel technology","Keeps baby skin fresh with breathable soft belt and cuffs","Comfortable fit with flexible waistband","Faster absorbtion with larger absorbancy zone inside diapers","http://ecx.images-amazon.com/images/I/41zmnRrilWL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/51CJ39WI7VL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/517QSMWLvwL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/41e7pnNnm9L._UL1500_.jpg","http://ecx.images-amazon.com/images/I/51JMtVREkQL._UL1500_.jpg","Baby","Diapering & Nappy Changing","Diapers","Diaper Pants","NA",
"https://www.amazon.in/Lakme-Eyeconic-Kajal-Deep-Black/dp/B0154B5PAY/ref=sr_1_4/259-3075064-5659152?m=AT95IG9ONZD7S&s=merchant-items&ie=UTF8&qid=1498600301&sr=1-4","Lakme Eyeconic Kajal, Deep Black, 0.35 g","180.00","144.00","FREE Delivery","Cloudtail India","NA","Colour:Deep BlackAccentuate the beauty of your eyes with the Lakmé Eyeconic Kajal. This dermatologically tested kajal is just what you need for completing your eye makeup or carrying a simple, only-kajal look. It's a smudge proof, water proof kajal and can add the dramatic and glamorous look to your eyes. It long-lasting and is designed with an easy to use and convenient twist-up format. Just one stroke of the Lakmé Eyeconic Kajal enhances your simple look to a more stylish avatar. You are incomplete without kajal and this is a perfect everyday product. Get the Lakmé Eyeconic Kajal right now.","Smudge proof and convenient twist- up format for deep stroke","Water proof, lasts up to 22 hrs","It is dermatologically tested & is safe for the eyes","Easy twist up format","Can be used water line and eye lids","http://ecx.images-amazon.com/images/I/41rvVNDglnL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/41RcT%2BfbcUL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/41sq90pd0xL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/31fYXNhqVIL._UL1500_.jpg","NA","Beauty","Make-up & Nails","Eyes","Kajal & Kohls","NA",
"https://www.amazon.in/Samsung-MicroSDHC-Memory-Adapter-MB-MC32GA/dp/B06Y63B51W/ref=sr_1_5/259-3075064-5659152?m=AT95IG9ONZD7S&s=merchant-items&ie=UTF8&qid=1498600301&sr=1-5","Samsung EVO Plus Grade 1, Class 10 32GB MicroSDHC 95 MB/S Memory Card with SD Adapter (MB-MC32GA/IN)","1,149.00","875.00","FREE Delivery","Cloudtail India","NA","NA","Free up your devices with the largest capacity and highest read/write speeds in Samsung's class, perfect for full HD video - with astonishing performance and reliability, Evo Plus lets you save and treasure the richness of life","Record and play full HD video - with ultra-fast read and write speeds up to 95mbps and 20mbps respectively, the 32GB Evo Plus lets you transfer a 3GB video to your notebook in just 38 seconds","Never worry about space again - with massive amounts of storage the 32GB Evo Plus is enough memory for up to 1 hour and 30 minutes of 4K UHD video, 4 hours of full HD video, 7,500 photos or 3,000 songs","Compatible with a wide range of devices for both SD and micro SD","You can even capture detailed full HD video","http://ecx.images-amazon.com/images/I/41flNfpUo1L._UL1500_.jpg","http://ecx.images-amazon.com/images/I/41xc-9XmUsL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/412qT2fANBL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/41a%2BKL1AL4L._UL1500_.jpg","http://ecx.images-amazon.com/images/I/41ds3ZmsDOL._UL1500_.jpg","Electronics","Accessories","Memory Cards","Micro SD","NA",
"https://www.amazon.in/Luvlap-Paraben-Free-Wipes-Sheets/dp/B01J14IAES/ref=sr_1_6/259-3075064-5659152?m=AT95IG9ONZD7S&s=merchant-items&ie=UTF8&qid=1498600301&sr=1-6","Luvlap Paraben Free Baby Wet Wipes with Aloe Vera (80 Wipes, Pack of 3, 240 Sheets)","297.00","187.00","FREE Delivery","Cloudtail India","NA","Size:Pack of 3LuvLap Paraben Free Baby Wet Wipes with Aloe Vera - 80 Wipes (Pack of 3)","Enriched with aloe vera and chamomile extract","Enriched with vitamin E extract","Ph balanced and hypoallergenic","Dermatologically safe and paraben and alcohol free","Mild fragrance","http://ecx.images-amazon.com/images/I/51NH6aWrgLL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/41Df7Xi1b9L._UL1500_.jpg","http://ecx.images-amazon.com/images/I/51Wu15f2p2L._UL1500_.jpg","NA","NA","Baby","Potty Training & Step Stools","Wet Wipes","NA","NA",
"https://www.amazon.in/Sennheiser-CX-180-Street-II/dp/B00D75AB6I/ref=sr_1_7/259-3075064-5659152?m=AT95IG9ONZD7S&s=merchant-items&ie=UTF8&qid=1498600301&sr=1-7","Sennheiser CX 180 Street II In-Ear Headphone (Black)","990.00","790.00","FREE Delivery","Cloudtail India","NA","Product DescriptionSennheiser CX 180 Street II In-Ear HeadphoneComfortable and SturdyThe ideal companion to all your audio devices is here. With comfortable fit and sturdy design the Sennheiser CX 180 Street II In-Ear Headphone, fits perfectly with all your audio gadgets with its 3.5mm stereo mini plug and give you the acoustics to your music like never before. It comes with a set of different sized ear caps so you can use the one that fits your ear best and does not let the Earphone slide off. The sturdy cable is 1.2 m long that gives you enough space between you and your device. It has a finger contoured housing design that gives it a sleek look and easy adjustment for comfortable wear. Carry it wherever you want, while travelling, shopping or maybe for a walk, the CX 180 is the perfect companion to your audio device.Powerful Sound QualityThe Sennheiser CX 180 has been engineered with Bass-driven Stereo sound technology that gives impressive and deep bass. The technologically advanced design of the earphone reduces the peripheral noise to ensure you stay entertained without any interference of external noises. It is equipped with 16 ohms impedance, 20 Hz to 20,000 Hz frequency response and 110dB sound pressure level. Be it your smartphone, tablet, MP3 player or any other device just plug in the Sennheiser CX 180 Street II In-Ear Headphone for an enriched acoustics experience.From the ManufacturerRemarkable Engineering Unified with Ace Sound QualityA marvel of sophisticated headphone engineering and superior sound solutions, Sennheiser CX 180 Street II in-ear headphone is an absolute must-have accessory for people who are fond of music. With a built-in capability of delivering a powerful bass-driven stereo sound, the Sennheiser CX 180 Street II is the perfect gadget that lets you enjoy an uncompromising music listening session. Keeping in mind the wearing comfort of the listeners, the makers have incorporated a finger contoured housing design that makes it easy to adjust and gives it a stylish appearance as well.Cancels Unwanted NoiseThe last thing that you want to bother about during your music listening session is the noise pollution that comes in from external ambience. This Sennheiser CX 180 headphone helps you do exactly this with its technically superior features that include relatively higher headphone sensitivity of 16 Ohms. With its perfect in-ear–canalphone design coupled with the excellent noise attenuating ability, the Sennheiser in ear headphone ensures that the ambient noise does not interrupt your listening experience. Additionally, these headphones are portable as well as lightweight making them easy to carry around even in your pocket.Type: Wired in-the-ear headphoneColour: SilverDesign: In-ear-canalphonePowerful sound reproduction and impeccable bass responseEliminates background noiseFrequency Response: 18 to 20,000 HzImpedance: 16 Ohms","Innovative finger-contoured housing design enables for easy adjustment and optimal wearing comfort","Powerful, bass-driven stereo sound","Good attenuation of ambient noise","Optimised for mp3, iPod, iPhone, CD players and portable gaming systems","NA","http://ecx.images-amazon.com/images/I/31LPmQMJm0L._UL1500_.jpg","http://ecx.images-amazon.com/images/I/31IEZKePpWL._UL1500_.jpg","NA","NA","NA","Electronics","Accessories","Home Audio & Video Accessories","Headphones","NA",
"https://www.amazon.in/Premsons-SA71CZKWPS-Fidget-Spinner-Color/dp/B071CZKWPS/ref=sr_1_8/259-3075064-5659152?m=AT95IG9ONZD7S&s=merchant-items&ie=UTF8&qid=1498600301&sr=1-8","Premsons Fidget Spinner 608 Four Bearing Ultra Speed with Silver Steel Wing Bearings (Black)","799.00","160.00","FREE Delivery","Cloudtail India","NA","Color:BlackThis performance spinner is injection molded from ABS plastic. This results in a better finish, higher strength, and much higher shatter resistance when compared to more common 3D printed spinners. The high performance bearing in the centre allows higher spinning time, and glides effortlessly in your hands. The sides have been created wisely to give the spinner additional inertia for long spins, and each side also provides great off-centre fidgeting fun.","Perfect toy for fidgeters","Ultra durable to ensure longevity and smooth rotation","Great for anxiety, ADHD, autism, quit smoking, staying awake on long car drives, etc","Like all bearings and spinning fidget toys, it takes time spinning and breaking in to achieve longer spinner times, the more you spin the toy, the longer it will last","Bring out that creative genius lying deep within you by increasing your concentration any time on the go, whether you're at home, at school, or at the workplace","http://ecx.images-amazon.com/images/I/51AIskEgwRL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/51T4miRriHL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/41MlB5eYOJL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/51dD7Q8Dq1L._UL1500_.jpg","NA","Toys & Games","Learning & Education","Special Needs Developmental Toys","NA","NA",
"https://www.amazon.in/Premsons-Bearing-Fidget-Spinner-Black/dp/B0728F96TS/ref=sr_1_9/259-3075064-5659152?m=AT95IG9ONZD7S&s=merchant-items&ie=UTF8&qid=1498600301&sr=1-9","Premsons 608 Four Bearing Fidget Spinner (Red and Black)","799.00","163.00","FREE Delivery","Cloudtail India","NA","Color:Red/BlackThis performance spinner is injection molded from ABS plastic. This results in a better finish, higher strength, and much higher shatter resistance when compared to more common 3D printed spinners. The high performance bearing in the centre allows higher spinning time, and glides effortlessly in your hands. The sides have been created wisely to give the spinner additional inertia for long spins, and each side also provides great off-centre fidgeting fun.","Perfect toy for fidgeters","Ultra durable to ensure longevity and smooth rotation","Great for anxiety, ADHD, autism, quit smoking, staying awake on long car drives, etc","Like all bearings and spinning fidget toys, it takes time spinning and breaking in to achieve longer spinner times, the more you spin the toy, the longer it will last","Bring out that creative genius lying deep within you by increasing your concentration any time on the go, whether you're at home, at school, or at the workplace","http://ecx.images-amazon.com/images/I/51qPtANy59L._UL1500_.jpg","http://ecx.images-amazon.com/images/I/51z9vG4EVPL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/41SheMguAtL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/51cMaPTq4cL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/513wchocJRL._UL1500_.jpg","Toys & Games","Learning & Education","Special Needs Developmental Toys","NA","NA",
"https://www.amazon.in/SanDisk-Ultra-MicroSDHC-Memory-SDSQUNB-016G-GN3MN/dp/B010NE3U2M/ref=sr_1_10/259-3075064-5659152?m=AT95IG9ONZD7S&s=merchant-items&ie=UTF8&qid=1498600301&sr=1-10","SanDisk Ultra MicroSDHC 16GB UHS-I Class 10 Memory Card (SDSQUNB-016G-GN3MN)","675.00","485.00","FREE Delivery","Cloudtail India","NA","Size name:16GB  |  Style name:Upto 48 Mbps Read SpeedSuperior Storage OptionAndroid Smartphones and Tablets will provide limited entertainment options if they do not get connected with an external SDHC card. SanDisk Ultra MicroSDHC UHS-I Class 10 Memory Card of 16GB provides you with extended amusement alternatives by being compatible to your Smartphones and tablets. You can share and store high quality images, videos and other content in these devices with the help of this 16GB memory card. It is free of damage from water, temperature and shock and reads as well as transfers data at a blazingly high speed.Transfer Data at High-SpeedThis device provides you with high speed data reading and transferring option, so that you do not have to wait for extended hours to share your preferred files and content in your tablets and Smartphones. The data reading speed of this SDHC card stands at 48 MB per second and the transfer speed is a whopping 80 MB per second. You can now share and store full HD videos with the help of this memory card by SanDisk and enjoy to the maximum extent with unlimited multimedia choices in nyour Smartphones and tablets.DurabilityThis SDHC card by SanDisk is resistant to water, temperature, X-ray and shocks. So, you need not worry about heating up of the card due to extra usage or damage due to water etc.Smartly CompatibleThis SDHC card is compatible with devices which host microSDHC and micro SDXC cards. So, in case your Smartphones and tablets are compatible with these cards, the SanDisk 16GB memory card will also be accessible with your devices.","16GB capacity","Upto 48MB/s read speed","Dependable high speed for shooting Full HD (1080p) video and high quality photos","Compatible with all microSDHC, microSDXC supporting host devices","7 years warranty","http://ecx.images-amazon.com/images/I/41SmOzyQ%2ByL._UL1500_.jpg","http://ecx.images-amazon.com/images/I/51AW8HKZG6L._UL1500_.jpg","http://ecx.images-amazon.com/images/I/51bsYd8qatL._UL1500_.jpg","NA","NA","Electronics","Accessories","Memory Cards","Micro SD","NA",
